Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Virtus.pro,E-frag.net,overpass,Virtus.pro,1.03,0,1.06,1.09,50.98,48.67,44.16,52.44,72.8,72.5,28.1,24.3
Tempo Storm,EnVyUs,mirage,Tempo Storm,0,1.04,1.12,1.07,47.36,53.31,41.18,53.06,71.1,72.3,20.9,33.8
Tempo Storm,Virtus.pro,cobblestone,Tempo Storm,0,1.03,1.12,1.06,57.2,51.82,65.79,50.81,77.8,73.8,33.7,29.8
Astralis,FaZe,inferno,Astralis,0,0,1.11,0.99,53.31,59.14,40,62.5,74.6,77.4,30.0,36.9
FaZe,EnVyUs,train,EnVyUs,0,1.04,0.99,1.07,44.77,51.77,35.71,52.33,62.7,74.8,23.0,27.9
Astralis,E-frag.net,mirage,Astralis,0,0,1.11,1.09,61.04,52.98,43.75,58.82,82.4,75.3,33.7,28.9
Tempo Storm,FaZe,dust2,FaZe,0,0,1.12,0.99,53.68,43.9,53.33,57.14,69.4,72.8,38.0,20.3
Virtus.pro,EnVyUs,cache,Virtus.pro,1.03,1.04,1.06,1.07,52.94,55.14,52.05,52.98,76.4,77.3,27.7,31.0
Tempo Storm,E-frag.net,inferno,Tempo Storm,0,0,1.12,1.09,55.16,54.33,64.71,46.67,77.3,73.5,28.0,32.4
Astralis,Virtus.pro,overpass,Astralis,0,1.03,1.11,1.06,58.29,50.98,63.33,44.16,76.7,72.8,35.7,28.1
Astralis,EnVyUs,train,Astralis,0,1.04,1.11,1.07,53.13,51.77,40.91,52.33,71.2,74.8,32.5,27.9
FaZe,E-frag.net,cache,FaZe,0,0,0.99,1.09,46.72,56.77,75,61.03,71.0,76.5,22.6,33.6
NiP,Luminosity,mirage,NiP,1.09,0,1.16,1.14,51.24,57.91,52.05,55.95,74.8,79.4,27.8,33.3
Luminosity,mousesports,cobblestone,Luminosity,0,1.01,1.14,1.04,56.27,50.81,48.72,55.1,79.9,71.8,29.4,29.0
Natus Vincere,NiP,overpass,Natus Vincere,1.03,1.09,1.07,1.16,54.15,52.36,56.33,45,75.8,73.8,29.2,28.8
Natus Vincere,mousesports,cobblestone,Natus Vincere,1.03,1.01,1.07,1.04,52.21,50.81,52.11,55.1,73.5,71.8,29.5,29.0
Natus Vincere,Luminosity,mirage,Luminosity,1.03,0,1.07,1.14,55.8,57.91,55.84,55.95,78.7,79.4,30.0,33.3
NiP,mousesports,mirage,mousesports,1.09,1.01,1.16,1.04,51.24,52.81,52.05,54.17,74.8,76.2,27.8,29.5
Cloud9,dignitas,cache,Cloud9,1.02,1.02,1.06,1.05,53.48,51.18,58.78,49.3,76.4,76.1,28.8,25.8
Gambit,Cloud9,cache,Gambit,0,1.02,1.0,1.06,50.47,53.48,58.33,58.78,71.0,76.4,31.7,28.8
mousesports,HellRaisers,mirage,mousesports,1.01,1.01,1.04,1.03,52.81,49.25,54.17,56.06,76.2,72.5,29.5,25.3
Tempo Storm,G2,dust2,G2,0,0,1.12,1.01,53.68,51.65,53.33,46.74,69.4,74.1,38.0,25.8
HellRaisers,Liquid,dust2,HellRaisers,1.01,1.04,1.03,1.08,52.36,53.59,56.44,59.09,76.0,74.6,28.4,30.7
Astralis,Virtus.pro,cache,Astralis,0,1.03,1.11,1.06,47.14,52.94,45.83,52.05,67.8,76.4,29.3,27.7
Virtus.pro,Astralis,overpass,Astralis,1.03,0,1.06,1.11,50.98,58.29,44.16,63.33,72.8,76.7,28.1,35.7
Natus Vincere,NiP,mirage,NiP,1.03,1.09,1.07,1.16,55.8,51.24,55.84,52.05,78.7,74.8,30.0,27.8
mousesports,NiP,overpass,NiP,1.01,1.09,1.04,1.16,50.17,52.36,54.39,45,72.5,73.8,25.6,28.8
NiP,mousesports,cache,NiP,1.09,1.01,1.16,1.04,53.65,55.22,51.7,54.12,78.0,76.8,27.4,32.1
EnVyUs,Virtus.pro,mirage,EnVyUs,1.04,1.03,1.07,1.06,53.31,56.25,53.06,55.33,72.3,78.0,33.8,31.5
Virtus.pro,EnVyUs,cobblestone,Virtus.pro,1.03,1.04,1.06,1.07,51.82,55.41,50.81,61.61,73.8,76.1,29.8,33.3
G2,mousesports,overpass,mousesports,0,1.01,1.01,1.04,53.15,50.17,48.15,54.39,77.7,72.5,27.7,25.6
mousesports,G2,dust2,G2,1.01,0,1.04,1.01,51.93,51.65,53.44,46.74,75.0,74.1,28.2,25.8
Astralis,dignitas,overpass,Astralis,0,1.02,1.11,1.05,58.29,52.87,63.33,54.03,76.7,76.5,35.7,29.8
dignitas,Astralis,mirage,Astralis,1.02,0,1.05,1.11,55.47,61.04,56.59,43.75,77.4,82.4,30.2,33.7
G2,Astralis,dust2,G2,0,0,1.01,1.11,51.65,56.2,46.74,70,74.1,81.8,25.8,30.5
Astralis,EnVyUs,mirage,Astralis,0,1.04,1.11,1.07,61.04,53.31,43.75,53.06,82.4,72.3,33.7,33.8
G2,Astralis,dust2,Astralis,0,0,1.01,1.11,51.65,56.2,46.74,70,74.1,81.8,25.8,30.5
dignitas,NiP,mirage,NiP,1.02,1.09,1.05,1.16,55.47,51.24,56.59,52.05,77.4,74.8,30.2,27.8
NiP,dignitas,train,NiP,1.09,1.02,1.16,1.05,55.01,49.14,50,50,78.4,74.0,28.5,27.1
Natus Vincere,Virtus.pro,dust2,Natus Vincere,1.03,1.03,1.07,1.06,53.37,49.14,50.81,56.52,76.1,72.5,27.0,26.2
Virtus.pro,dignitas,overpass,dignitas,1.03,1.02,1.06,1.05,50.98,52.87,44.16,54.03,72.8,76.5,28.1,29.8
dignitas,Virtus.pro,mirage,dignitas,1.02,1.03,1.05,1.06,55.47,56.25,56.59,55.33,77.4,78.0,30.2,31.5
Luminosity,Liquid,cobblestone,Luminosity,0,1.04,1.14,1.08,56.27,53.23,48.72,50,79.9,73.4,29.4,29.6
