Team 1, Team 2, Winning Team, Winning Score, Losing Score, Map Played
Method,E-frag.net,E-frag.net,11,16,dust2
noKappa,PENTA,PENTA,9,16,mirage
SK,Ancient,Ancient,14,16,overpass
EnVyUs,FlipSid3,EnVyUs,16,7,cobblestone
BLUEJAYS,AR8,AR8,2,16,inferno
FlipSid3,EnVyUs,EnVyUs,9,16,mirage
CL4NLESS,Refuse,Refuse,11,16,train
Method,SK,SK,3,16,mirage
Ancient,E-frag.net,Ancient,16,8,inferno
Winterfox,Luminosity,Winterfox,16,3,train
8 Minded,AGG,AGG,3,16,mirage
Luminosity,Winterfox,Luminosity,16,11,overpass
Cloud9,OpTic,OpTic,7,16,cobblestone
OpTic,Cloud9,OpTic,16,13,cache
ALTERNATE aTTaX,Team123,ALTERNATE aTTaX,16,5,cache
G2,EnVyUs,G2,16,12,train
Revival,miMo,miMo,12,16,overpass
ALTERNATE aTTaX,DenDD,ALTERNATE aTTaX,16,12,cache
EnVyUs,G2,G2,11,16,cache
AlienTech,Bpro,Bpro,6,16,overpass
Revival,ggrabb,Revival,21,18,train
Virtus.pro,NiP,NiP,11,16,overpass
Team123,dignitas,dignitas,11,16,overpass
miMo,WE,miMo,16,13,train
Team123,ALTERNATE,Team123,16,13,train
NiP,Virtus.pro,NiP,16,2,cache
DenDD,dignitas,dignitas,6,16,mirage
Nordics,AlienTech,AlienTech,9,16,train
KKona,Splyce,Splyce,6,16,inferno
Splyce,KKona,Splyce,16,12,dust2
Renegades,Winterfox,Renegades,16,3,train
Winterfox,Renegades,Renegades,4,16,dust2
ex-Epiphany,Deathtrap,ex-Epiphany,16,6,cobblestone
NiP,FaZe,NiP,16,9,train
FaZe,NiP,NiP,7,16,dust2
ex-Epiphany,eXplosive,ex-Epiphany,16,0,mirage
Deathtrap,GameAgents,Deathtrap,16,6,mirage
Space Soldiers,Arcade,Space Soldiers,16,12,cobblestone
Astralis,mousesports,Astralis,16,4,dust2
mousesports,Astralis,Astralis,12,16,mirage
Space Soldiers,Epsilon,Space Soldiers,21,19,mirage
Little Einsteins,Arcade,Arcade,12,16,mirage
LDLC fe,Exertus,LDLC fe,16,3,dust2
LDLC fe,Elysium,LDLC fe,16,8,dust2
Exertus fe,CLG,CLG,5,16,overpass
Exertus fe,LDLC,Exertus fe,16,13,train
Elysium,CLG,CLG,8,16,dust2
Millenium fe,Karma,Karma,14,16,train
Santos.DeX fe,Millenium,Millenium,12,16,overpass
WRTP,Karma,WRTP,16,6,train
Santos.DeX fe,WRTP,WRTP,1,16,mirage
Millenium fe,Karma,Karma,0,16,cache
KoN Finland,KoN,KoN,8,16,dust2
